RowNum,Company,Name,Ref,Review.Date,Cocoa.Percent,Company.Location,Rating,Broad.Bean.Origin,Bean.Type
1,A. Morin,Panama,1011,2013,70,France,2.75,Panama,
2,Amedei,Ecuador,123,2007,70,Italy,3,Ecuador,Trinitario
3,Arete,Fazenda Camboa,1534,2015,70,U.S.A.,3.5,Brazil,
4,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70,U.S.A.,3.25,Bolivia,
5,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72,Belgium,3.75,Madagascar,Trinitario
6,Blanxart,Organic Dark,322,2009,72,Spain,2.75,,
7,Burnt Fork Bend,Mindo,1299,2014,72,U.S.A.,3.5,Ecuador,
8,Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70,Spain,4,Mexico,Criollo
9,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70,Peru,3.25,Peru,
10,Cacaoyere (Ecuatoriana),Pichincha,259,2008,91,Ecuador,1.5,Ecuador,Forastero (Arriba)
11,Compania de Chocolate (Salgado),Esmeraldas,296,2008,88,Argentina,2.75,Ecuador,Forastero (Nacional)
12,Duffy's,Star of Peru,523,2010,70,U.K.,3.75,Peru,
13,El Rey,"Rio Caribe, Macuro",439,2009,70,Venezuela,3,Venezuela,Trinitario
14,Ethel's Artisan (Mars),Red Vanilla,666,2011,62,U.S.A.,2.75,,
16,Fruition,La Red,1046,2013,70,U.S.A.,3.75,Dominican Republic,
17,Habitual,Downtown London,1201,2014,65,Canada,2.75,,
18,Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80,U.K.,3.5,Vietnam,Trinitario
19,Hummingbird,Bolivia,1307,2014,70,Canada,3,Bolivia,"Criollo, Trinitario"
20,Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70,Switzerland,4,Venezuela,Trinitario
21,K'ul,"Los Rios, Hacienda Limon, Heirloom",1852,2016,70,U.S.A.,3.75,Ecuador,
22,L.A. Burdick (Felchlin),Chuao,927,2012,68,U.S.A.,3.75,Venezuela,Trinitario
23,L.A. Burdick (Felchlin),Dominican Republic,576,2010,74,U.S.A.,3.75,Dominican Republic,
24,Letterpress,Kokoa Kamili,1566,2015,70,U.S.A.,3.5,Tanzania,
25,Lillie Belle,Perfect Illusion,855,2012,65,U.S.A.,3.5,Peru,Criollo
26,Manufaktura Czekolady,Kolumbia,1279,2014,85,Poland,3.5,Colombia,
27,Matale,"Malekula P., 2013",1177,2013,72,Australia,3.5,Vanuatu,Trinitario
28,Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66,France,3.5,Venezuela,Trinitario
29,Monarque,Oko Caribe,1812,2016,72,Canada,3.5,Dominican Republic,
30,Montecristi,Manabi,1658,2015,85,Ecuador,3.5,Ecuador,
31,Ocelot,Piura,1558,2015,75,Scotland,4,Peru,Criollo
32,Omnom,Papua New Guinea,1247,2014,70,Iceland,3,Papua New Guinea,
33,Pacari,"Ecuador, raw",817,2012,85,Ecuador,2.75,Ecuador,
34,Paul Young,"Madagascar, w/ shell",1271,2014,73,U.K.,2.25,Madagascar,Trinitario
35,Pralus,"Caracas, Venezuela and Ghana",99,2006,75,France,3,"Venezuela, Ghana","Trinitario, Forastero"
36,Q Chocolate,Brazil,935,2012,60,Brazil,3,Brazil,
37,Republica del Cacao (aka Confecta),Manabi,147,2007,75,Ecuador,3,Ecuador,Forastero (Arriba)
38,Scharffen Berger,Finisterra,227,2008,72,U.S.A.,3,"Ven., Trinidad, Mad.",Blend
39,Sirene,"Somia Plantation, 2012",1339,2014,67,Canada,3.75,Madagascar,Trinitario
40,"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70,Australia,4,Ecuador,Criollo
41,StRita Supreme,"Samar, East Visayas region",939,2012,65,U.S.A.,2.5,Philippines,
42,Tabal,Dominican Republic,1101,2013,70,U.S.A.,2.75,Dominican Republic,
43,Tejas,Bayou Blend,801,2012,70,U.S.A.,3,"Ecuador, Mad., PNG",Blend
44,Valrhona,"Loma Sotavento, 2013",1153,2013,64,France,3.5,Dominican Republic,
45,Valrhona,Le Noir Extra Amer,147,2007,85,France,1.5,,
46,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72,Madagascar,2.75,Madagascar,Trinitario
47,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80,Madagascar,2.75,Madagascar,Trinitario
48,Woodblock,"Camino Verde P., Balao, Guayas",1042,2013,70,U.S.A.,3.25,Ecuador,
49,Adi,Vanua Levu,705,2011,60,Fiji,2.75,Fiji,Trinitario
50,Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55,Ecuador,2.75,Ecuador,Forastero (Arriba)
51,AMMA,Catongo,1065,2013,75,Brazil,3.25,Brazil,Forastero (Catongo)
52,Artisan du Chocolat,Madagascar,363,2009,80,U.K.,3,Madagascar,"Criollo, Trinitario"
53,Bar Au Chocolat,Chiapas,983,2012,70,U.S.A.,3.5,Mexico,
54,Black Mountain,La Red,256,2008,70,U.S.A.,2.75,Dominican Republic,
55,Bonnat,Gabon,1042,2013,75,France,3.25,Gabon,
56,Bonnat,Equateur,123,2007,75,France,2.5,Ecuador,Forastero (Arriba)
57,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77,Ecuador,3.25,Ecuador,Forastero (Arriba)
58,Caoni (Tulicorp),Esmeraldas,269,2008,55,Ecuador,3.5,Ecuador,Forastero (Arriba)
59,Captain Pembleton,Kulili Estate,1263,2014,70,New Zealand,3.75,Papua New Guinea,
60,Castronovo,Bolivia,1101,2013,70,U.S.A.,3,Bolivia,Trinitario
61,Chocola'te,Madagascar,647,2011,70,U.S.A.,3.75,Madagascar,Trinitario
62,Chocovic,Kendari,439,2009,60,Spain,3.25,,
63,Compania de Chocolate (Salgado),Sur del Lago,579,2010,70,Argentina,3.25,Venezuela,
64,Dick Taylor,Belize,955,2012,72,U.S.A.,2.75,Belize,Trinitario
65,Domori,"Canoabo, Hacienda San Jose",693,2011,70,Italy,3.5,Venezuela,Criollo
66,Domori,"Java, Javablond",192,2007,70,Italy,3.75,Indonesia,Criollo
67,Durand,Madagascar,841,2012,82,France,2.75,Madagascar,Trinitario
68,El Ceibo,Alto Beni,252,2008,71,Bolivia,2.75,Bolivia,
69,El Rey,"Carenero Superior, Bucare",206,2008,58,Venezuela,2.5,Venezuela,Criollo
70,Erithaj (A. Morin),Ham Luong,1209,2014,80,France,3,Vietnam,Trinitario
71,Finca,Dominican Republic,1283,2014,80,U.S.A.,3,Dominican Republic,
76,Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70,Denmark,3.5,Nicaragua,"Criollo, Trinitario"
77,Fruition,Peru,863,2012,70,U.S.A.,2.5,Peru,
78,Guittard,Onyx,654,2011,72,U.S.A.,3.25,,
79,Habitual,Dominican Republic,1197,2014,75,Canada,3.25,Dominican Republic,
80,Hotel Chocolat (Coppeneur),Sambirano,809,2012,66,U.K.,3.5,Madagascar,"Trinitario, Criollo"
81,Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72,Switzerland,3.75,Venezuela,Criollo
82,Izard,"Elvesia P., Batch 32",1546,2015,70,U.S.A.,2.75,Dominican Republic,
83,Kakao,Peru,837,2012,64,Germany,2.5,Peru,
84,Letterpress,Beniamo,1562,2015,70,U.S.A.,3.25,Bolivia,
85,Madre,"Xocunusco, Chiapas, Pichucalco",1089,2013,70,U.S.A.,2.75,Mexico,
86,Malagos,"Davao, Mt. Talamo foothills",1121,2013,65,Philippines,3.5,Philippines,Trinitario
87,Mana,Venezuela,1219,2014,74,U.S.A.,2.75,Venezuela,
88,Marsatta,Dominican Republic,1189,2013,74,U.S.A.,2.25,Dominican Republic,
89,Mast Brothers,"Chuao, Med. Roast",701,2011,76,U.S.A.,3,Venezuela,Trinitario
90,Middlebury,Kokoa Kamili,1538,2015,75,U.S.A.,3.25,Tanzania,
91,Oakland Chocolate Co.,Jamaica,478,2010,70,U.S.A.,2.5,Jamaica,Trinitario
92,Olive and Sinclair,Ghana prototype,486,2010,72,U.S.A.,3,Ghana,Forastero
93,Olivia,Carribean,688,2011,85,Canada,2.75,Carribean,
94,Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75,Switzerland,3,Peru,Criollo
95,Pacari,Montubia,1415,2014,70,Ecuador,3.75,Ecuador,
96,Pascha,Peru,1137,2013,70,Peru,2.75,Peru,
97,Pierre Marcolini,"Baracoa, Cuba",516,2010,78,Belgium,3.75,Cuba,"Criollo, Forastero"
98,Pierre Marcolini,Chuao,478,2010,75,Belgium,3,Venezuela,Criollo
99,Pitch Dark,Chuno,1510,2015,80,U.S.A.,2.75,Nicaragua,"Criollo, Trinitario"
100,Rogue,Jamaica,213,2008,70,U.S.A.,2.75,Jamaica,Trinitario
101,S.A.I.D.,Samana,615,2010,70,Italy,3,Dominican Republic,
102,Seaforth,Dominican Republic,1658,2015,70,U.K.,2.75,Domincan Republic,
103,Snake & Butterfly,Madagascar,502,2010,68,U.S.A.,3,Madagascar,Trinitario
104,Solomons Gold,Solomon Island,1792,2016,70,New Zealand,3.25,Solomon Islands,
105,Soma,Java,1030,2013,70,Canada,3.25,Indonesia,Criollo
106,Soma,Papua New Guinea,983,2012,85,Canada,3.5,Papua New Guinea,Trinitario
107,Soma,Carenero Superior,951,2012,70,Canada,3.75,Venezuela,Trinitario
108,Starchild,Cacao Verapaz,1692,2015,70,U.S.A.,3,Guatemala,
109,twenty-four blackbirds,Madagascar,1235,2014,75,U.S.A.,3.5,Madagascar,Trinitario
110,Videri,Mindo,1227,2014,75,U.S.A.,3.5,Ecuador,
111,Willie's Cacao,Rio Caribe,457,2009,72,U.K.,3.25,Venezuela,Trinitario
112,Woodblock,"Maranon, Cajamarca",1243,2014,70,U.S.A.,3,Peru,Forastero (Nacional)
113,Zak's,"Dominican Republic, Batch D2",1578,2015,70,U.S.A.,3.25,Domincan Republic,
114,Zotter,"Satipo Pangoa region, 16hr conche",875,2012,70,Austria,3,Peru,Criollo (Amarru)
115,A. Morin,Brazil,1011,2013,70,France,3.25,Brazil,
116,Alain Ducasse,Vietnam,1215,2014,75,France,2.75,Vietnam,Trinitario
117,Altus aka Cao Artisan,Acopagro,1728,2016,60,U.S.A.,3,Peru,
118,Arete,Camino Verde,1602,2015,75,U.S.A.,3.5,Ecuador,
119,Artisan du Chocolat,Congo,300,2008,72,U.K.,3.75,Congo,Forastero
120,Bakau,"Bambamarca, 2015",1454,2015,70,Peru,2.75,Peru,
121,Bar Au Chocolat,Sambirano,983,2012,70,U.S.A.,3.75,Madagascar,Trinitario
122,Beehive,"Dominican Republic, Batch 31616",1784,2016,70,U.S.A.,2.75,Domincan Republic,
123,Belyzium,Belize south,1768,2016,83,Germany,3.5,Belize,Trinitario
124,Black River (A. Morin),Blue Mountain Region,1331,2014,70,U.K.,2.75,Jamaica,Trinitario
125,Bonnat,One Hundred,81,2006,100,France,1.5,,
126,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75,U.S.A.,2.5,Dominican Republic,
127,Cacao de Origen,"Chuao, Aragua region",1395,2014,70,Venezuela,3.75,Venezuela,Trinitario
128,Cacao Sampaka,Ecuador,523,2010,71,Spain,3.75,Ecuador,
129,Callebaut,Grenade,296,2008,60,Belgium,2.75,Grenada,Trinitario
130,Caoni (Tulicorp),Los Rios,269,2008,55,Ecuador,3.25,Ecuador,Forastero (Arriba)
131,Chchukululu (Tulicorp),Los Rios,252,2008,75,Ecuador,3,Ecuador,Forastero (Arriba)
132,Chocola'te,Venezuela,647,2011,68,U.S.A.,3.75,Venezuela,
133,Chocovic,Xoconusco,478,2010,71,Spain,3.25,Mexico,Criollo
134,Compania de Chocolate (Salgado),Carenero Superior,292,2008,80,Argentina,2.75,Venezuela,Trinitario
135,Damson,Los Rios,1610,2015,70,U.K.,3.5,Ecuador,
136,Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70,U.S.A.,3.75,Dominican Republic,
137,Dandelion,Papua New Guinea,1153,2013,70,U.S.A.,3.5,Papua New Guinea,
138,Danta,Sambirano,987,2012,70,Guatemala,3.75,Madagascar,Trinitario
139,DeVries,Dominican Republic,166,2007,77,U.S.A.,3.5,Dominican Republic,
140,Dick Taylor,Elvesia,1235,2014,74,U.S.A.,3.5,Dominican Republic,
141,Dick Taylor,Camino Verde,1193,2013,76,U.S.A.,3.5,Ecuador,
142,Doble & Bignall,"Panama, Raven",1371,2014,72,U.K.,3.25,Panama,
143,Domori,"Chuao, Hacienda San Jose",470,2010,70,Italy,3,Venezuela,Trinitario
144,East Van Roasters,Peru,1343,2014,70,Canada,3.25,Peru,
145,Finca,Dominican Republic,1283,2014,70,U.S.A.,3.25,Dominican Republic,
146,Fruition,Gran Couva,1347,2014,70,U.S.A.,3.75,Trinidad,Trinitario
147,Guittard,Haiti,1053,2013,65,U.S.A.,2.75,Haiti,
148,Hachez,Arriba,166,2007,77,Germany,2.5,Ecuador,Forastero (Arriba)
149,hello cocoa,Venezuela,1462,2015,74,U.S.A.,3.5,Venezuela,Criollo
150,La Maison du Chocolat (Valrhona),Kuruba,439,2009,60,France,3,,
151,Lillie Belle,Wild Thing,947,2012,68,U.S.A.,3.5,Bolivia,Criollo
152,Lillie Belle,La Selva,903,2012,68,U.S.A.,3.75,Peru,
153,Maglio,Ecuador,308,2008,70,Italy,3,Ecuador,Forastero (Nacional)
154,Manoa,Piura,1007,2012,72,U.S.A.,3,Peru,
155,Maverick,Elvesia,1367,2014,70,U.S.A.,3.25,Dominican Republic,
156,Mayacama,Hispaniola,1728,2016,72,U.S.A.,3,Domincan Republic,
157,Meadowlands,Belize,1287,2014,70,U.S.A.,3,Belize,Trinitario
158,Meadowlands,Venezuela,1287,2014,70,U.S.A.,2.75,Venezuela,
159,Michel Cluizel,Noir Infini,81,2006,99,France,2,,
160,Nahua,"Costa Rica, Oscuro",1049,2013,58,Costa Rica,2.5,Costa Rica,
161,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c.",733,2011,66,Switzerland,3.75,Bolivia,
162,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c.",341,2009,68,Switzerland,3.25,Bolivia,
163,Pacari,Manabi,224,2008,65,Ecuador,2.75,Ecuador,Forastero (Arriba)
164,Pralus,Cuyagua,451,2009,75,France,2,Venezuela,
165,Pralus,Colombie,40,2006,75,France,3.5,Colombia,Trinitario
166,Pralus,"Djakarta, Java and Ghana",99,2006,75,France,3.5,"Indonesia, Ghana","Criollo, Forastero"
167,Q Chocolate,Brazil,935,2012,65,Brazil,3.25,Brazil,
168,Republica del Cacao (aka Confecta),Esmeraldas,494,2010,75,Ecuador,3.25,Ecuador,
169,Ritual,"Camino Verde P., 2012, Balao, Guayas",967,2012,75,U.S.A.,3.25,Ecuador,Nacional (Arriba)
170,Ritual,Costa Rica,745,2011,75,U.S.A.,3.5,Costa Rica,
171,Roasting Masters,Maleku,1844,2016,70,South Korea,3.25,Costa Rica,
172,Rozsavolgyi,Carenero Superior,713,2011,73,Hungary,3.5,Venezuela,Criollo
173,Shark Mountain,ROIG,1466,2015,74,U.S.A.,3.5,Dominican Republic,"Criollo, Trinitario"
174,Szanto Tibor,Santo Domingo,939,2012,70,Hungary,3.25,Dominican Republic,
175,Tablette (aka Vanillabeans),Papua,1450,2015,62,Japan,3.25,Papua New Guinea,
176,Tablette (aka Vanillabeans),Vietnam,1450,2015,60,Japan,3.25,Vietnam,Trinitario
177,TCHO,TCHOPro 60.5,387,2009,60,U.S.A.,2.75,,
178,Terroir,Belize,1478,2015,70,U.S.A.,3.75,Belize,Trinitario
