code,name,description,refreshed_at,from_date,to_date
15NC,15-Year Fixed Rate Mortgage Average in the North Central Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2015-12-31
15NE,15-Year Fixed Rate Mortgage Average in the Northeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2015-12-31
15SE,15-Year Fixed Rate Mortgage Average in the Southeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2015-12-31
15SW,15-Year Fixed Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2015-12-31
15US,15-Year Fixed Rate Mortgage Average in the United States,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2019-02-21
15W,15-Year Fixed Rate Mortgage Average in the West Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1991-08-30,2015-12-31
1NC,1-Year Adjustable Rate Mortgage Average in the North Central Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1986-04-04,2015-12-31
1NE,1-Year Adjustable Rate Mortgage Average in the Northeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1986-04-04,2015-12-31
1SE,1-Year Adjustable Rate Mortgage Average in the Southeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1986-04-04,2015-12-31
1SW,1-Year Adjustable Rate Mortgage Average in the Southwest Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1986-04-04,2015-12-31
1US,1-Year Adjustable Rate Mortgage Average in the United States,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1984-01-06,2015-12-31
1W,1-Year Adjustable Rate Mortgage Average in the West Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1986-04-04,2015-12-31
30NC,30-Year Fixed Rate Mortgage Average in the North Central Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1976-03-26,2015-12-31
30NE,30-Year Fixed Rate Mortgage Average in the Northeast Region,Units: Percent<br><br>Not Seasonally Adjusted,2019-02-22 04:11:13,1976-03-26,2015-12-31
